R,W,Total
0.055793,0.001008,0.108472
0.041234,0.001090,0.088069
0.066798,0.000988,0.108568
0.031904,0.001016,0.065600
0.036429,0.000976,0.074115
0.024471,0.000863,0.060522
0.039862,0.000942,0.104155
0.067736,0.000898,0.103752
0.042633,0.001005,0.100223
0.059530,0.000944,0.100993
