--------TCP--------
19423,12665,8963
21097,13213,9795
19291,12997,8892
19871,12535,9041
19422,12507,9017
19995,12441,9157
20090,12314,9263
19980,12756,9337
19366,12620,8764
19371,12313,8916
19434,12187,8401
20226,13016,9229
19499,12139,8699
21538,13083,9627
19876,12091,8593
20739,12421,9154
20446,12962,8749
20656,12447,8895
20719,12139,8951
20396,12523,8914
20732,12716,9147
20699,13149,9426
20455,13044,8727
20409,13204,9178
20789,12522,9294
20265,12486,9104
20480,12989,9650
19946,12331,8260
20161,12512,8806
20279,12488,9016
20759,13661,9351
20980,13325,9415
20458,12966,9185
20434,13121,9029
20653,13588,9186
23321,14432,10453
20901,13299,9592
20462,13137,9156
20330,13342,9140
20774,13088,9156
20709,14487,9325
20174,14389,8939
20858,13797,9369
21694,15181,9720
20155,14237,9253
23266,15380,10339
20424,16023,8970
19715,13308,8971
20109,13825,9057
20484,13909,9056
20706,15130,9237
20392,15972,9042
20367,15935,9062
20748,15341,9353
20421,15151,9120
21140,16043,9406
20813,15873,9248
21234,15690,9486
20612,15532,9234
20819,15409,9214
20942,17329,9391
21139,16763,9277
20682,17886,9132
20461,17201,9169
20692,17028,9277
20589,17172,9108
20657,16829,9233
20968,17128,9405
20329,16894,9003
20628,16881,9135
21029,19458,9339
21250,19254,9396
20625,18676,9290
21322,19614,9422
21031,19577,9353
20693,19268,9399
21143,19071,9228
21493,19166,9422
21497,18974,9498
21529,19988,9643








--------UDS--------
6784,10195,2327
7360,11266,2566
8406,12611,2892
7991,11413,2779
8254,11644,2873
8346,12350,2888
8133,11424,2821
7400,11537,2593
8051,12413,2814
37302,64143,13078
8542,13254,2911
10020,14628,3437
8137,11671,2760
8150,11819,2822
8121,12109,2834
8932,13417,3155
7422,11659,2555
8286,12418,2897
8029,12658,2770
8302,12325,2829
9180,13735,3250
9241,14199,3193
8427,12578,2923
8269,12223,2879
8368,13144,2853
8784,13050,3018
9303,13971,3184
8004,11771,2741
8660,13229,3098
7825,11776,2654
9330,14790,3327
9486,13669,3285
8593,13804,3060
9330,13939,3191
7156,11189,2476
8433,13072,2949
8335,12656,2903
8504,13125,3007
8619,12696,3022
9515,13844,3249
8477,13693,3107
7910,12450,2800
9096,14612,3285
9667,15456,3386
6751,10702,2403
7301,11639,2595
8037,12779,2880
7822,12734,2843
7062,10706,2456
7570,12569,2695
7851,15004,3050
11615,21673,4324
7278,13276,2665
7404,13628,2769
7652,13877,2743
8263,15146,3047
7551,14190,2709
6542,11778,2301
7449,14268,2802
7224,13406,2648
6224,15105,2236
6123,14961,2218
6194,15052,2326
6290,15794,2272
15334,40203,5669
6267,15160,2253
6517,15352,2337
6431,15570,2316
6203,15276,2278
6881,15950,2452
7241,18550,2495
7001,18500,2507
6527,17520,2333
6674,17866,2496
7017,18851,2515
6613,18485,2466
6418,17356,2314
6499,17177,2359
6518,16923,2306
7312,19282,2554









--------XIO-------
9759,9703,403
9835,10022,387
9639,9165,400
9706,9490,407
10133,9891,421
10066,9695,389
9774,10397,380
9976,9604,399
9771,9668,418
9752,9417,411

10015,10738,400
9989,10718,383
9673,10539,378
9874,9743,405
10026,10267,407
9835,10261,399
9844,11104,395
9660,9283,392
9699,9930,391
9642,10448,393

9675,9573,373
9854,9711,396
9821,9901,396
9818,10079,398
9643,10125,418
9746,10331,378
9846,9601,406
10061,10114,382
9660,9621,417
9984,10144,389

9706,10699,404
9761,11101,394
9790,11509,412
10017,10917,419
9857,10875,426
9822,11520,407
9892,11399,403
9888,10170,410
9751,10577,405
9907,10754,413

9696,11653,383
10002,11391,437
9711,10727,405
9690,12537,417
9856,11047,385
10014,11781,402
9994,10615,400
9616,12119,370
9766,11219,382
9750,12013,397

9874,12492,398
9878,11596,385
9942,11649,628
9694,12690,405
9746,11485,407
9793,12508,392
9923,12556,412
10205,12241,413
10071,12565,410
10197,12530,405

10549,14785,404
10427,13241,430
10587,14402,418
10568,22166,395
10566,13439,401
10620,15289,416
10431,13920,421
10220,13732,417
10507,14153,422
10231,14211,394

11267,18607,395
10734,18862,416
11038,18586,396
11760,19735,392
10992,18474,418
11309,17709,410
11245,18051,477
10904,18103,429
11027,19237,426
11155,19343,544
